date,Region_Category,Visitors
1998-01-01,TotalAll,45151.071280099975
1998-01-01,AAll,17515.502379600006
1998-01-01,BAll,10393.618015699998
1998-01-01,CAll,8633.359046599999
1998-01-01,DAll,3504.3133462000005
1998-01-01,EAll,3121.6191894
1998-01-01,FAll,1850.7357734999998
1998-01-01,GAll,131.92352909999997
1998-01-01,AAAll,4977.2096105
1998-01-01,ABAll,5322.738721600001
1998-01-01,ACAll,3569.6213724000004
1998-01-01,ADAll,1472.9706096
1998-01-01,AEAll,1560.5142545
1998-01-01,AFAll,612.447811
1998-01-01,BAAll,3854.672582
1998-01-01,BBAll,1653.9957826000002
1998-01-01,BCAll,2138.7473162
1998-01-01,BDAll,1395.3775834
1998-01-01,BEAll,1350.8247515000003
1998-01-01,CAAll,6421.236419000001
1998-01-01,CBAll,828.4128890000001
1998-01-01,CCAll,1087.7879521000002
1998-01-01,CDAll,295.92178649999994
1998-01-01,DAAll,1497.8197687
1998-01-01,DBAll,905.0681003
1998-01-01,DCAll,580.701969
1998-01-01,DDAll,520.7235082
1998-01-01,EAAll,2568.1487666999997
1998-01-01,EBAll,263.5703417
1998-01-01,ECAll,289.900081
1998-01-01,FAAll,847.9735793
1998-01-01,FBAll,760.2926125000001
1998-01-01,FCAll,242.46958170000002
1998-01-01,GAAll,70.56055359999999
1998-01-01,GBAll,61.36297549999999
1998-01-01,AAAAll,3743.0561068
1998-01-01,AABAll,1234.1535037
1998-01-01,ABAAll,1320.6748346000002
1998-01-01,ABBAll,4002.0638870000002
1998-01-01,ACAAll,3569.6213724000004
1998-01-01,ADAAll,282.6135487
1998-01-01,ADBAll,277.2580087
1998-01-01,ADCAll,604.1673479
1998-01-01,ADDAll,308.93170430000004
1998-01-01,AEAAll,603.4201488
1998-01-01,AEBAll,602.8760321999999
1998-01-01,AECAll,118.60716710000001
1998-01-01,AEDAll,235.6109064
1998-01-01,AFAAll,612.447811
1998-01-01,BAAAll,2022.7225623999998
1998-01-01,BABAll,1393.359125
1998-01-01,BACAll,438.59089459999996
1998-01-01,BBAAll,1653.9957826000002
1998-01-01,BCAAll,489.29779599999995
1998-01-01,BCBAll,630.3984340000001
1998-01-01,BCCAll,1019.0510862
1998-01-01,BDAAll,360.1828535
1998-01-01,BDBAll,205.42377379999996
1998-01-01,BDCAll,704.7698765
1998-01-01,BDDAll,17.346197
1998-01-01,BDEAll,82.52212659999999
1998-01-01,BDFAll,25.132756
1998-01-01,BEAAll,23.956957799999998
1998-01-01,BEBAll,331.5141036
1998-01-01,BECAll,178.0434271
1998-01-01,BEDAll,431.8680711
1998-01-01,BEEAll,24.5760727
1998-01-01,BEFAll,96.8998666
1998-01-01,BEGAll,114.1513643
1998-01-01,BEHAll,149.8148883
1998-01-01,CAAAll,2173.2193035
1998-01-01,CABAll,2407.0902006999995
1998-01-01,CACAll,1840.9269148
1998-01-01,CBAAll,230.5638972
1998-01-01,CBBAll,170.3748032
1998-01-01,CBCAll,301.46231989999995
1998-01-01,CBDAll,126.0118687
1998-01-01,CCAAll,203.5572567
1998-01-01,CCBAll,386.934341
1998-01-01,CCCAll,497.2963544
1998-01-01,CDAAll,191.32972449999997
1998-01-01,CDBAll,104.592062
1998-01-01,DAAAll,1460.0113132000001
1998-01-01,DABAll,18.8435933
1998-01-01,DACAll,18.9648622
1998-01-01,DBAAll,556.1624205
1998-01-01,DBBAll,254.9663565
1998-01-01,DBCAll,93.93932330000001
1998-01-01,DCAAll,180.5479153
1998-01-01,DCBAll,173.2869466
1998-01-01,DCCAll,62.6477689
1998-01-01,DCDAll,164.21933819999998
1998-01-01,DDAAll,212.6744804
1998-01-01,DDBAll,308.0490278
1998-01-01,EAAAll,316.95594989999995
